Text,Emotion
it's Friday here in Chicago...and I'm stuck @ home AGH I'M BORED!!! grr!,neutral
i feel that each point is equally important than each,joy
i feel very angry but once a simple msg made me blur really blur,anger
VAST concert tomarrow night!!!!,surprise
i was nannying my kids could definitely snark back at me when we were feeling bitchy but i feel that sarcasm should be kept away from children s clothes,anger
i then asked as i often do in these situations how i could fix this so she wouldnt feel like i hated her because of my lack of postings on her facebook page,sadness
i feel depressed i feel like they would ve been negative because i hadn t been the most influential big brother,sadness
i should feel awful about the nonexistence of gods,sadness
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
just broke a vase that i didn't even get a chance to use,neutral
@Nicsey 3000 then ya up with me my friend ... i type too much,neutral
i feel that the tips given are very useful especially to parents with young kids like me,joy
i feel badly about something that makes me really happy,joy
@mateoviento don't see the link on my web interface,neutral
i feel like time is precious so they were dead on with saying i would be interested in time saving devices i m always looking to save time,joy
@Krysss I invite you,neutral
im feeling doubtful about my writing dreams to know shes behind me,fear
i was feeling pretty rotten,sadness
i feel completely unsure of any boundaries or normalcy,fear
@Taryll sweet dreams,neutral
i like to read this when i am feeling inadequate i know mistakes happen and sometimes they are the perfect mistake,sadness
@KosMoney it's the non-www fail  http://www.mymunchies.net/ that works,neutral
"Back at home,11 hours till work",neutral
@TiffConnFTW cause theres no party,neutral
@EmperorNorton I'm going to watch it now,neutral
Really good night,neutral
#3breakupwords you have changed,surprise
i feel angry im happy,anger
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,joy
i generally like to blog about things that make my day but today im feeling particularly generous so im blogging about something that made my kids day,joy
im not the only person in the world to feel miserable from time to time,sadness
i left the eagles complex sunday feeling cooper will have the chance to as he told the team when the news broke last week make it right,sadness
i go to sleep as soon as my head hits the pillow i sleep deeply all night and i wake up feeling a lot less lethargic then usual,sadness
i more important than going fun ipad strategy games original boots from ugg wear ugg boots this winter low cost ugg boots uggs need to get washed inside they are also lightweight so you won t feel burdened with them speed up finances with payday loans payday loans the monthly solution for you,sadness
i cant help but feel suspicious of everything,fear
i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe,sadness
@taraw07  cuss u siad u weren't having it...lol,neutral
i was feeling very crappy and it was going down hill the entire week,sadness
i shall never feel like i am less than a valued human but i will always know that my needs can and will be met by gods people if i get rid of my pride and ask,joy
i feel like i am being obnoxious by posting every three seconds,anger
i feel shafted or greedy,anger
my favourite song tonight is cheer it on by Tokyo Police Club,surprise
i dont really feel his presence but im eager to hear news about him,joy
i know that s wrong but i feel ugly,sadness
i feel totally ignored and excluded,sadness
i have studied logic and ethics and i know with certainty that the motivation of feeling superior is not an excuse for judgement finger pointing and its eventual consequence hatred and in this case homophobia,joy
@lillytown the happiest place on earth  j'adore,surprise
@animalria what?? why?,surprise
i feel ungrateful and i know i feel ungrateful and i hate myself for feeling ungrateful hellip and yet i don t get that last bit,sadness
2 more days till half term is over,neutral
i always seem to feel im running on empty,sadness
@jkandbvgirl drive safe Linz... Give us some pit stop updates on where you are,neutral
i left feeling disappointed in her knowledge,sadness
"Oh, yes... Happy NINE year annivarsary to Hanson's second studio album, &quot;This Time Around.&quot;",surprise
i compare your beauty i feel unsure where to begin to angels or nature or what,fear
i alternated between wishing i would die and then feeling terrified that something would happen to me leaving my newborn son without a mother,fear
i feel very peaceful when i look at it,joy
i will feel so glad to go sing me to sleep sing me to sleep i dont want to wake up on my own anymore,joy
i feel greedy about wanting to see this film series continue,anger
i feel like my dream is so selfish,anger
listeninq to music; Butterfly Fly Away - Miley Cyrus,neutral
@oliviamunn How long before the Frisbee Golfer &quot;accidentally&quot; catches one in the back of the head from his friend,neutral
i let myself feel this way i have a gorgeous partner who loves me with an intensity that takes my breath away a beautiful comfortable home food on the table and drink a plenty even our dog adores me,joy
i have a headache and feel weepy,sadness
im not saying they cant accept me the way i am its just they treat me differently i feel accepted and loved,joy
i feel really petty complaining about panic attacks and such,anger
im all too familiar with as it leaves me feeling lost and off any form of solid ground,sadness
im feeling rotten just talking about it,sadness
"Vote Goal 10, help me win goal of the month  http://tinyurl.com/dlrcqk",neutral
i could feel myself hit this strange foggy wall,fear
i felt that aching feeling anymore and i had to think about it but no i dont have that aching feeling unless i am missing my family,sadness
i got home feeling miserable at my lack of shopping skillzz i remembered the bag of un opened un used make up sitting in my bedroom that i forgot all about,sadness
i feel like im a violent mother,anger
i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,joy
i feel drastically inadequate for the needs i feel swirling around me,sadness
i hate feeling discontent but its what im feeling right now and im tired of hiding it,sadness
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger
i feel so neglectful of my new followers but all i care about is that it s cat stevens b day,sadness
i didnt tell you because i didnt want you to feel afraid,fear
i hate feeling discouraged but i keep trying to start the couch to k again and it just isnt going well at all,sadness
i really feel like is mostly the culmination of starting to play more clubs and wanting to make more dancefloor friendly stuff and having stuff that has a certain tempo range that fits nicely in that setting,joy
I have to choose between @pink and @Essendon_FC on Sunday and @pink wins. I'm shattered.  Why can't I be healthy enough to go to both?,neutral
i can feel my artistic side melting away into nothing,joy
@maggit we tried yesterday and they said no,surprise
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy
i feel so uncertain about the decade ahead,fear
"@yukihoang  it is. its probly 16 a head, GAY HUH? reg tix @ the block was 11.50, bella terra 10.75... i encourage bootlegs",neutral
i feel like a beaten pi ata spewing unhealthy emotions and defeat,sadness
i feel like im not as stubborn,anger
i didnt end up with that popular guy before the feeling i had when i was rejected its like a break up what i thought during that time la,sadness
i do not feel remorseful and ask for forgiveness when i know ive done something wrong,sadness
i feel like my heart broke telling my children she continued,sadness
ive never thought i would feel so guilty for trying to protect someones feelings,sadness
cannot believe someone smashed my car window and stole my laptop  they obviously dont have a mum!!!,surprise
i wonder how is it feel to be really smart,joy
my gap year is going so quick,surprise
i go shopping i feel like julia roberts in pretty woman,joy
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  Damn,surprise
i think about these two ways of looking at life the more i feel convinced that it is sensible to see it as a lease rather than a gift,joy
my birthday is in 2 days,neutral
@jordanmccoy awwww how cute its a pUG,surprise
i am just so sick of feeling hated and lonely and dumb and unloved and forgotten,anger
i feel like i want to make something but the house is so messy and i am still finishing up christmas gift knitting,sadness
where u at?,neutral
"@TimothyH2O Haha! If I were him, I'd totally go check out a small little breakfast nook  They probably have the cutest ones there.",surprise
i am not holding in my anger but i am holding it back so that i can still choose with a clearer mind and can feel it without executing someone for something petty,anger
i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual,sadness
i feel contented but i m going to bet that i ll hate life tomorrow i hide a lot of things,joy
looks like my ION-based mini-itx board won't ship until mid-June now at the earliest,surprise
@MuddyTheFox aww  but typing from beyond the grave...impressive,surprise
i feel distraught as ever,fear
@Ayosilva when in doubt go with the instincts.,surprise
i feeling distressed,fear
i feel shy to him all the time,fear
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,surprise
@dbldbl no not yet...,neutral
i did feel slightly shaky and had a headache,fear
@TwiSuperfan what?!?! OMG!!! I can't view this on my iPhone!!,surprise
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy
i feel entertained by myself as we arrive at the park,joy
i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height,fear
i did feel for her but honestly i was just too glad to have some kind of salvation from the merciless sun,joy
i feel like a very impatient mensa member at such times,anger
i feel as defeated as i did today i wonder if im doing this parenting thing all wrong,sadness
i could feel him before i saw him and he smelt delicious,joy
i feel helpless to overcome the voice that is telling me consistently and firmly that i look disgusting and huge,sadness
@AndrewDearling :o And I missed it? And I'll miss the rpt 2mrw  Oh well there's youtube sunday I guess. Thanks Andrew,neutral
i am feeling a little sorry for myself and worse for him,sadness
i underlined make you feel whenever i hear about him referring to me as his or especially his precious child i feel so wonderful,joy
meditating on my plans for the weekend...gotta work saturday...,neutral
dice watching Heroes again.  http://plurk.com/p/svhvh,surprise
i am sure feeling nervous about potential air raids from the luftwaffe,fear
im feeling generous enough to give the rest of my supporters ebooks too,joy
i actually started this about hours ago and got distracted and now the flow is all odd and my roommate is here so i feel very rude just typing away,anger
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
@dean2105 Stress-free is the way to be,neutral
i have a feeling my mom wont be so keen on that idea,joy
ive just watched the above video for the first time and feel a bit bitchy for doing so but here are some of my thoughts on her outfits,anger
@khanserai why that's a halo,neutral
is #6 seed in regionals!!,neutral
@JoJoWright 4X4s are the shizz,neutral
i have been trying to come to terms with my own emotionally damaged thinking but now i almost feel convinced that my thoughts are full of validity,joy
i feel drained mentally and physically and i really need to get back to a better spot,sadness
i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well,joy
lowkey tired yet still energetic !,neutral
i would not accept his love fully feeling of being damaged,sadness
i feel like being ignored,sadness
i sing i feel weird,fear
and we're back in buisiness,neutral
BGT TOURRR 18THH JUNEE  &lt;3 2ND ROWWW  GEORGE SAMPSONN!! &lt;3&lt;3,neutral
"@karmadillo You are very, very good. Why didn't I think of that?",surprise
May the 4th be with you -&gt; heute ist Star Wars Day,neutral
@ShelbyRotter on my way,neutral
i have been feeling awful,sadness
wants to wish all the moms a Happy Mother's Day.  Hope you're all treated like Queens!,surprise
i know karen wouldnt see it that way if i addressed these things with her it would open a whole miserable can of worms she wouldnt see that shes doing anything wrong and wouldnt be open to hearing how i feel it would turn into an ugly confrontation and i hate confrontation,sadness
My roommate has officially started packing,neutral
i make this blog post i am feeling the melancholy running through my veins,sadness
i feel a little pained but that will probably pass the last illusions of childhood,sadness
o ok..im jealous..i wish I was in bed,neutral
"@emmacrook Not going to dwell on it. It happened, it's passed. Just a shame as he was so supportive! Such is life!  x",surprise
i feel helpless about not being able to help him in feeling better but do my best to encourage him and think positively as mom is doing,fear
i really loved the day which made me feel such gratitude that we were having such a wonderful day which made me feel very happy,joy
@Blanquis26  Happy Mother's Day to ya tomorrow,neutral
i mean change is great though unless i feel like i am not alone in what i experience with having high functioning autism it s scary to make decisions and to want to work on myself in order to be the person i want to be,sadness
i felt this way before i was feeling rather reluctant whether should i go down to bishan to fetch my boyfriend,fear
"Have space right next to the rack for another one. So plenty of space for CCNA,CCNP,CCIE lab!",neutral
i feel slightly emotional watching it,sadness
ive had where i feel good enough to work the whole shift possibly the whole day,joy
i feel very passionate about my future career choices within the video gaming industry,joy
Just finished watching terminator. Other than the music nothing is great,neutral
"@bobbyllew If you had owned an *actual* cellphone, that would have been video, and called a &quot;QiK&quot;",neutral
im surfin..,neutral
i feel this about my movies he says the fact that my name is on them that means they are doomed,sadness
i feel nervous i dont feel super confident that i have it until i have the trophy,fear
i love to sew cook and also dabble in mixed media art when i feel like getting messy,sadness
i do feel lonely at times and at times i still feel that i am alone,sadness
#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,neutral
i began to feel a little cold,anger
im feeling brave this would be nice with black tips,joy
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
i feel like i cant afford to be afraid to show that i am sometimes weak to allow others to see me as anything less than the strong wife and mom that i feel i am,fear
@DexterAddict Aw  *hugs* Sorry man.  If I were rich I'd buy u a ticket NOW!,surprise
i left that meeting feeling helpless and betrayed by the very laws that are supposed to protect me and other people in this state,fear
I would soooooo be a cop... If it weren't for two things... 1. I could drive.... 2. I wasn't so unfit...,neutral
i am left tonight feeling so hopeful for the future of the orphan crisis in this country,joy
i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,anger
i do at times feel complacent with my life as is,joy
i feel neglectful that i have to skip over all the entries from this community and that i dont have the time to be as religious as i had been,sadness
i feel like my creativity is running low like a dying battery,sadness
i just feel glamorous in it,joy
i read which i feel i didn t need to read makes me a little grumpy,anger
i am feeling a little weird as i compare this big old number with how young insecure childlike playful silly i feel inside,fear
i was in control and now i feel that i have lost it,sadness
i often feel overwhelmed with all of the office and administration work required of the teacher,fear
i feel most of your parents are republicans i shall not overload the stories with feeling or the need for society to be blamed for the outcome,sadness
i feel like im selfish,anger
@xojennielynn or @lauren_ohh i think one of you should give a ride! please?,surprise
i always won the dance contests when i went there and that was such a great feeling to have everybody watch you and to know that you entertained them,joy
@francecino its alright babes &gt;&lt; boo. im gonna leave agaiiiiin,surprise
i feel completely stupid for not knowing any of this,sadness
i can brandish this article at anyone who makes fun of me for staying in bed too late or whenever i feel tragic for staying up until,sadness
i need to feel assured i need to feel secure,joy
i feel so welcomed,joy
i feel grief for the families of those who were caught in this tragic incident,sadness
i felt like spock amongst a world of humans it was difficult for me to reciprocate feelings for someone because i was so terrified of being hurt and i refused to let other people into my world,fear
i can not acquaint the reason just because i feel acceptable if cutting links london jewelry,joy
@erockett89 i wish i was home in bed naked,neutral
i keep feeling weird sensations img src http s,fear
Still in the News Room..however; with audio to turn around!  Just grabbed a tea. Looking forward to after 1 when I get out in this rain,surprise
i can be as kind as an angel but sometimes i can also be as mean as a devil i used to use harsh words when i feel irritated,anger
i asked myself why do you feel frightened of being,fear
i don t like being at home it feels so unwelcome in fact i despise it,sadness
i prove myself wrong here i am feeling ugly because i made no attempt to get out of my sleeping clothes oh and my eyebrows,sadness
i still feel so empty and lonely,sadness
i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,joy
i am wearing and feeling confident about myself,joy
i feel he is so talented and so realistic,joy
i love to be able to say how i feel and i love to be in this complacent spot,joy
@sheilaon7 i didnt know u guys have acc in fb hee,surprise
i just feel utterly content with everything and being here in a previously unknown place has rekindled my desire to see the world,joy
i am thinking about md who was there for me through my teen years offering guidance and support and making me feel special making me feel like i matter,joy
i feel agitated and simply irritated,anger
i feel rather superior but not in this case,joy
@phyllig MTV Movie Awards. Go vote! STAT,neutral
i feel embarrassed looking at wedding dresses,sadness
@jsrobertojr uh-oh...you're creeping up on my 4th spot! hahaha.,surprise
i feel irritable and unfulfilled if i dont paint for several days,anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
"@twistednurse76 I am behind the times, I hadnt loaded any songs from THE BLOCK til now.. What do u hav to offer?!?!",neutral
i have feeling this is fake,sadness
i just have this awful feeling that im going to do something really idiotic like decide to make my simple quick to make mini tote a more tricky project by deciding to use two pieces which need to be stitched together,sadness
im feeling a bit melancholy for some reason so im not going to post further for now but hopefully this re discovery of my old thoughts and goals will help me to re align my focus a bit,sadness
i feel delighted be rice er si the young lady understand me,joy
i feel comfortable with it,joy
i hate being in an environment where im constantly feeling rejected cast aside and forgotten e,sadness
i have mishandled things alongside the rest and im feeling remorseful about it right now as opposed to my very initial reaction of not wanting to care because maybe somewhere deep down in me im hoping things might be like before,sadness
tino hat ne wii,neutral
i also feel contented and humbled by this experience and will always be thankful for this opportunity,joy
i first started and i m feeling more confident behind the wheel,joy
i feel blessed to have had years with him and i am thankful for all i learned from him,joy
i feel totally ungrateful and extremely lucky,sadness
i feel the need to tell you that phone calls do provide some useful purpose as annoying as they may be,joy
i feel like i deserve it i should be punished i did an awful thing,sadness
i never knew i could feel so valued valued beyond what i ever thought possible,joy
i began to feel a bit irritable and antsy,anger
i then open my eyes and shes gone i cant help but feel alone,sadness
i want to make this a daily thing i have to wash my hair every single day and that s a hassle for someone like me who has super curly hair that s a bit of a pain to straighten but when i walk out of that class i feel so good,joy
@TheEllenShow,neutral
i feel im like a bird flying in the air in a very carefree manner,joy
@ElizabethN I may be in the US for it in which case I'll attend but if its off my own back I can't afford to go,neutral
i must be really feeling shitty if im sinking down to that level,sadness
i wake up every morning not knowing what the hell to do and feeling like crap with my stomach on fire and my bones aching and then i go to bed every night feeling the same thing,sadness
@rachky @taltalush Yes. I am secure in my masculinity.,neutral
i got that straight i realized that i was dealing with someone who was feeling insecure,fear
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger
i told him that it was because living with wyatt makes me feel like bowie living with iman here is this gorgeous long limbed ebony creature striding here lounging there,joy
@helga_hansen Darn - I just realised &quot;pull the other one&quot; would have been a *far* better response to your name suggestion,surprise
@dsfq Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well. Past 2 days set is back too far.,surprise
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger
@KaydeeisMeeko HAHA my rooommate are watching that! i have a huge crush on landon.,neutral
@Mashon96,neutral
i feel like a perverse pokemon master collecting card keys from girls i almost managed to score on ha,sadness
im heartbroken about in love with the world but i think maybe im feeling heartbroken so acutely is it came to me today that every time ive been asked to stay somewhere in the past years or so ive left,sadness
"@XDmexicanXD no, sir, they did not! i was amazed when i woke up this morning.",surprise
i could feel her whimper to the thought of being unloved and uncared for,sadness
i feel im not bothered by that,anger
i am feeling well and happy with my progress,joy
i feel helpless as her mother i should be able to take the pain away as a small child i could do this but she is a young adult now the same age i was when i had her and it hurts to see her in pain,fear
"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- &quot;Christ -- without the Crucifiction&quot;  Abstraction w/o 'Skin'",surprise
i am feeling a little overwhelmed by christmas knitting especially since i started cross stitching and thats taking half my free time i went idea shopping today though and i am starting to feel a little better about the situation,fear
i feel like until my brother is completely fine i wont be able to move on with a job or anything,joy
im out of the game yet but with two weeks left to go and having only been up for a week ive got to say that im feeling discouraged,sadness
"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",neutral
@jen_dang my phone is still broken.  just come over whenever.,neutral
i feel like perhaps as soon as i grabbed onto him i should have followed him out and beaten him up,sadness
im exhausted in excruciating pain and feeling extremely hostile,anger
i feel offended if you question my results as unfair saying that i am lazy and all so why,anger
i want to know exactly the meaning behind these effin feelings and submissive thinkings,sadness
@RezaEvol awe  wit the snap of my fingers n a nod of my head ur rain is gone  lol...thxs hit up afterwards,neutral
i feel her pain and i let her know and i want anyone else suffering with depression to know that you are not alone,sadness
i was so scared it wasnt even funny it just made me feel more pathetic and stupid,sadness
"@jussinen I've just gone back on and can't see anything too obvious. Who knows, but off to the Apple store today anyway",neutral
@taylorswift13 your in london?   are you doing any shows here?,surprise
i now feel almost resigned to the loss of the hopes and dreams i once had,sadness
@nmyster Thought you might be interested in @TweetPhoto http://tweetphoto.com. See who's viewing your photos!,neutral
i feel like he counted my letter as one supporting the current status quo which to say the least is not what i stated,joy
i feel honoured to own and wear this walking piece of intellectual curiosity,joy
i spent all day the other day feeling very morose because every once in awhile it would hit me that hilmari is dead,sadness
@Tim_in_NH night bud,neutral
i get the feeling im watching to see charlie be charming and zen rather than because i actually care what hes going through,joy
i was for awhile and i started feeling irritated and annoyed each time one of my kids filled up their pants again,anger
I don't believe there's anything worse than losing a best friend,neutral
@hanastephenson I'm good! thx.  and how are u? what are u doing?,surprise
my skype is - laqueshaa (just cuz everyone else is saying theirs  and i'm such a loner D,neutral
@1critic and Boat is dining Bones in Peru - double,neutral
i remember wearing the dress feeling fabulous looking fabulous announcing my good news to many friends whilst wearing that dress,joy
i feel that i should write the company and tell that that for this reason alone they need to come further east,sadness
"@JoeSDMF I know, but I wanna finish bsg first",neutral
i was pleasantly surprised to read that i was just as susceptible to falling under dessen s romance spell but other parts of the novel did feel like missed opportunities,sadness
just found out that i'm a robot,surprise
i was feeling pretty crampy,joy
i only feel irritated by it,anger
@spoonerist Oooh! goodluck for the rest of them,surprise
i feel more free to enjoy the possessions i do have like this rock or that book or these clothes,joy
@AliNichole0619 I am thinking about reading that too! She is talking about it on the View too! Not that you miss it often,neutral
i feel utterly disgusted that they would look at me in such a way but the thing continues,anger
"At work surprisingly happy all things considered, ahhhh loveliness",surprise
i didnt feel glamorous at all,joy
"@jo_locanawan: sure! Of course i'll pray for her too. Thank you, jo  send my warm regards to ur mom.: @jo_loc... http://bit.ly/Beih5",surprise
i get up with max and feel so exhausted that i crawl back upstairs and find sleep for another hour or so but each week i try to make sure i workout days,sadness
@souljaboytellem  Lord Have Mercy ... TECHNOLOGY ! So much Tattos MON DIEU ï¿½ï¿½ a dï¿½ faire mal !,neutral
i feel jaded about stpm sigh,sadness
i feel so heartless right now,anger
Ok- I guess it's time to throw in the towel and head to work,neutral
im feeling a but of melancholy today a bit of sadness but i also feel that the sadness is ok,sadness
i also really hope they feel ashamed as in se asian culture public shaming ie screaming thief after someone is about as bad as stealing,sadness
@Strabismus Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,neutral
i feel pressured to say something,fear
i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy
i dont think he is being honest with me about a lot of things i could be wrong here but i keep feeling skeptical about certain things after everytime i hang out with him,fear
i feel slightly snobbish,anger
@DarkDevilM  what's wrong,neutral
i asked feeling hesitant,fear
i feel that my lifes fucked up,anger
on the way down a ski slope which was difficult and steep,fear
@tinabby Got that right! And i know when I found out she wasn't coming i cried!  It really sucks but Im still happy she headlining  now!,surprise
i always feel like i should look cute when i vote,joy
"just got back from the BBQ, i got sunburn on my legs, well sore",surprise
Time is going slow,neutral
i also stop reading fashion magazine because it makes me feel ugly and fat,sadness
when my close friend was involved in an accident and passed away instantly he had gone to buy a new car and had asked me to wait at his home so that i could see his new car,sadness
i don t feel as relaxed when i sleep because of this,joy
@louisabouwer yummy thanks  strangely quiet too. Kids are downstairs harassing Lance,neutral
i feel everything is in control then i am ok,joy
i feel the isolation and despair of the rejected,sadness
i just remember feeling frantic desperately trying to say what i needed to say to q,fear
i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,anger
i feel fine which is good enough on a sunday evening,joy
being subject to unfair treatment in a working group,anger
i can feel rejected just because someone needs to sleep,sadness
"HEY! I didn't get my comlementary cherry flavored lip gloss this time, not cool",neutral
@future_perfect I'm trying to self learn photoshop but it's not going so well!,surprise
i feel helpless and depending on the people closest to you,fear
@moeneekah i hope he does ; join @dailybooth and you'll find one,neutral
i feel like she needs more but shes content so i guess its working along with that shes our little pipsqueak,joy
i was left feeling foolish all alone in the rain,sadness
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy
@Mickey_X sorry about that.,neutral
@elissa_10807 I'm watching the 4th harry potter movieee,neutral
i feel very distraught tonight,fear
"I was talking with my best friend ï¿½ureo about i-phones, Rio de Janeiro, and valentines day in Brazil. He has a girlfriend and Iï¿½m not",neutral
i feel pretty confident giving endless opinons about,joy
i feel like a fake a fraud a hypocrite,sadness
Send me your Blog's RSS feeds I have a site that will republish and send traffic to your site...,neutral
i found that the price of staying and feeling gorgeous has sky rocketed so i decided to take my own personal experiences and use them to give fellow students and other people on a budget a helping hand,joy
i woke up feeling this aching in my heart,sadness
i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too,fear
i feel kind of strange,fear
i feel i must write you owls until i am fearless and brave,joy
i feel agitated about it,anger
HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??,neutral
ive never been a huge holiday person but i definitely feel more festive more hopeful more willing to celebrate others joys,joy
i breathe and walk i feel less joyful than most other people,joy
i feel there was something divine happening there,joy
Mother's Day Wishes from google... Pretty &amp; beautiful flowers on google logo  http://www.google.co.in/,neutral
"@MischievousMel Please send me those youtube links, Erin watched most of them but I was cooking and didn't get to see the cowboys",neutral
i just want people to leave me alone and not make me special because i feel really vain and bad when people pay that much attention to me,sadness
i feel like nothing can stop me and sometimes i feel like so defeated,sadness
i have times when i feel insecure,fear
Stressed out fro work and having a drink,neutral
i feel many petty people have judged me simply because i may be one,anger
i choose to feel terrific a href http www,joy
i set up a consultation with a therapist last week and i went to see him today i spoke to him about my general feelings towards things and in the end he reassured me that i did not have atlephobia but instead i had social anxiety which is apparently really common,joy
i feel at ease in those moments but the last few nights have been troubled,sadness
@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,surprise
"http://twitpic.com/4wukz - At Covershots, Kelana Jaya, for Carter &amp; Nicole's wedding",neutral
I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,neutral
i feel privileged to call them my cousins,joy
i feel like she didnt seem to energetic or happy even her assistant was a bit off as she washed my hair after the dry cut she was pretty rough too like she wanted to quickly get it over with,joy
can't make it to graduation...,surprise
i have not been feeling very sociable,joy
i think its just a subconscious acknowledgement about my feelings towards eddie eg ignored,sadness
"@stacyshow gangstarr exgirl to the next girl, nas one mic, hold on i still can't listen so i guess it dont matter",surprise
i went to sleep feeling assured that i would know what to do if i ever needed it,joy
i feel bad that i don t have anything for you,sadness
Tryin to figure out how to direct message and is gettin frustrated,neutral
i would sometimes feel awkward talking to my brothers or mum if i dont see them for awhile,sadness
@Mrsdaughtry Some days you must look hard for that good thing.,surprise
i still go out sometimes but when i do i come home and cry i can feel how people look at me they know i am worthless too,sadness
"Sweet @mama_b_10 yeah my mate from G-town jus sed Blue Martini is tha spot, so ill check it out. good lookin out",neutral
i find impressive is that bezos has gone through this routine and presumably the same presentation multiple times already and will run through it multiple times after weve left with another set of reporters who will feel privileged to have gotten an audience with him,joy
i started to feel uncomfortable buzzy short of breath and very mildly panicky,fear
i think we often feel this way about planting ourselves where we are deeply terrified that if we go too deep into the ground it will be hard to get out again,fear
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy
Chaz's Daily Happenings: 22:31 Watching E.R instead of a DVD. End of an era  # 11:09 The sun is out. Wooo  #.. http://tinyurl.com/lgwrum,neutral
i really feel like this year will be a mellow one,joy
i should have helped her feel valued,joy
"@MrEricPiRaTe ah, I see now. Cool dude",surprise
@ewanspence Yay! I am not the only Eurovision fan on twitter  #eurovision2009,surprise
i is celebrated with great fan fare which happens to be january th or october nd disregarding here of course the rare sense of gandhigiri euphoria generated by an unexpected source such as munnabhai we come across the inescapable phrase which i feel has been much abused a hindu fanatic,sadness
@eboni_ife not to forget cinnamon!,neutral
i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people,sadness
i did feel a connection between the two of them i wasn t convinced they d made it to the love stage yet,joy
i feel accepted well we all know there are a few exceptions to the rule and like i belong,joy
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy about being successful,anger
@2flutterby  Hang in there! Drink some hot coco,neutral
i began to feel agitated because i wanted to buy ewan some food and medicine before i left,anger
i find myself more and more lately feeling like i m a shitty wife and mom,sadness
i cant tell you the last time i have woken up feeling like i slept well,joy
i am feeling faithful about my project,joy
@Mr_Bloggerific,neutral
i found myself feeling fairly ignored sort of taken for granted you know,sadness
i thought this is precisely why i m making the show because i feel very uncertain in the world,fear
i went through everything you all have too and am feeling fantastic right now,joy
i would still feel weird,fear
i talked about this with my therapist yesterday but nothing feels resolved in so far as anything ever gets resolved in a session,joy
i just don t feel i have it in me to get out of bed i can will the dull throbbing of hopelessness to give way and let forth a renewed sensed of hope reflect back on my accomplishments and dig up the inner strength i ve worked so very hard to reestablish,sadness
i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,anger
listening to music!! my phone just died on me  !! Can't find my charger... my brother needs 2 stop taking mine without asking!!,surprise
i am trying to work hard with these feelings and i understand that they have to be resolved and put behind me,joy
i feel the need to emphasize these things at the moment because of how grumpy i have been this last week,anger
i really enjoyed feeling that i was not alone,sadness
i hate that feeling and its making me antsy and irritable,anger
@smartinez I'll be at the new movie showing at the franklin on Thursday night.  several of the SLA faculty will be in attendance.,neutral
i feel im not sure if ill do this again or not,joy
